id,org_id,name,description,tags,areas,collab,url,confidence,source
openai-mental-health-grants,openai,AI and Mental Health Research Grants,"Grant program funding research on real-world risks and benefits of AI for mental health, including cultural variation and grief support.",grants|mental health,wellbeing,,https://openai.com/index/ai-mental-health-research-grants/,high,https://openai.com/index/ai-mental-health-research-grants/
parents-kids-safe-ai-act,openai,Parents & Kids Safe AI Act,"California ballot measure developed with Common Sense Media requiring age assurance, parental controls and a ban on AI-simulated romantic relationships with minors.",youth safety|policy,social|wellbeing,commonsense,,high,https://www.kqed.org/news/12069286/openai-and-common-sense-media-partner-on-new-kids-ai-safety-ballot-measure
dm-mentalhealth-wellcome,deepmind,Mental Health AI Research Initiative,"Multi-year research investment with Wellcome Trust to develop more precise, personalized ways to measure and treat anxiety, depression and psychosis.",mental health|measurement,wellbeing,wellcome,,high,https://blog.google/innovation-and-ai/technology/health/new-mental-health-ai-tools-research-treatment/
dm-ai-coclinician,deepmind,AI Co-Clinician,Explores AI agents that function as collaborative healthcare team members working with patients under physician supervision.,health|human-AI teaming,wellbeing,,https://deepmind.google/blog/ai-co-clinician/,high,https://deepmind.google/blog/ai-co-clinician/
jig-agency-research,jigsaw,Human Agency in the AI Era,"Ethnographic research across the US, Germany and Singapore identifying five dimensions of human agency affected by AI.",agency|ethnography,agency,,,high,https://medium.com/jigsaw/a-new-perspective-on-human-agency-for-the-ai-era-cd785faab026
jig-bridging-attributes,jigsaw,Experimental Bridging Attributes,"A Perspective API feature detecting constructive conversational qualities such as reasoning, personal stories, curiosity and compassion.",discourse|moderation,social|agency,,,high,https://medium.com/jigsaw/announcing-experimental-bridging-attributes-in-perspective-api-578a9d59ac37
cht-preserving-human,cht,Preserving What Makes Us Human in the Age of AI,"Working group developing a framework of rights and protections covering AI effects on relationships, cognition, inner life, identity and work.",rights|framework,agency|social|purpose,,,high,https://centerforhumanetechnology.substack.com/p/announcing-the-preserving-what-makes
ath-rai-impact-report,ath,Responsible AI Impact Report,"Inaugural assessment of the global responsible-AI field, documenting the shift from voluntary principles to enforceable standards.",field mapping|report,agency|social,,,high,https://alltechishuman.org/all-tech-is-human-blog/responsible-ai-impact-report-urgent-risks-emerging-safeguards-and-public-interest-solutions-impacting-society
pai-progress-hub,pai,Global AI Progress Hub,"Establishes a global standard for assessing whether AI systems are ethical, safe and trustworthy, plus a hub tracking summit commitments.",standards|measurement,agency,,https://partnershiponai.org/partner-forum-2026/,medium,https://partnershiponai.org/partner-forum-2026/
pai-human-connection,pai,AI & Human Connection Program,"Examines how interactive AI systems affect social trust, community and connection, developing a responsible-design framework.",social trust|framework,social|agency,,https://partnershiponai.org/program/ai-human-connection/,high,https://partnershiponai.org/program/ai-human-connection/
pt-conf2025,psychtech,2025 Conference: Promoting Human Flourishing Through Purpose-Driven AI,"Ninth annual conference exploring how AI can support psychological, societal and ecological wellbeing.",convening|research,wellbeing|purpose,,https://www.psychoftech.org/2025-conference,high,https://www.psychoftech.org/2025-conference
pt-conf2026,psychtech,2026 Conference: The Future of Meaning,"Tenth annual conference examining how emerging technology reshapes meaning and how it can strengthen purpose, belonging and agency.",convening|research,purpose|social|agency,chai,https://www.psychoftech.org/conferences,high,https://www.psychoftech.org/conferences
cs-safeai-act,commonsense,Parents & Kids Safe AI Act,"California initiative with OpenAI requiring age verification, prohibiting emotionally manipulative simulated relationships with minors and mandating independent safety audits.",youth safety|policy,wellbeing|social,openai,,high,https://www.commonsensemedia.org/press-releases/common-sense-media-openai-join-forces-on-strongest-youth-ai-safety-measure-in-us
ds-ai-ground,data-society,AI on the Ground,"Studies how AI systems operate in real-world contexts, covering conversational AI for mental and emotional care, effects on scientific knowledge-making, and how AI is benchmarked.",field research|evaluation,wellbeing|agency|learning,,https://datasociety.net/research/ai-on-the-ground/,high,https://datasociety.net/research/ai-on-the-ground/
ds-ai-civics,data-society,AI Civics,"Brings communities together, starting in libraries nationwide, to give the public a voice in directing AI creation, deployment and use.",public participation|libraries,agency|social,,,high,https://humanityai.ai/humanity-ai-announces-more-than-18-million-in-new-grants-to-shape-ai-for-the-public-good/
moz-data-collective,mozilla,Mozilla Data Collective,"Community-governed data platform letting data creators and stewards share AI training datasets on their own terms, with licensing, access controls and compensation.",data governance|open data,agency|social,,https://datacollective.mozillafoundation.org/,high,https://www.mozillafoundation.org/en/meet-mozilla/press-center/mozilla-data-collective-standalone-launch-new-features/
gloo-fai-c,gloo,Flourishing AI Christian (FAI-C) Benchmark,Worldview-specific extension of the FAI Benchmark evaluating how well LLMs reflect a Christian worldview.,benchmark|values,purpose|wellbeing,,,high,https://gloo.com/press/releases/gloo-unveils-the-first-benchmark-exposing-how-ai-misses-christian-worldview-and-values
gloo-hackathon-2026,gloo,2026 AI Hackathon,Hackathon focused on human-AI-agent collaboration in service of human flourishing.,hackathon|community,purpose|social|creativity,,,medium,https://gloo.com/press/releases/gloo-announces-2026-ai-hackathon
gallup-sogw-2026,gallup,State of the Global Workplace 2026,Flagship workplace report focused on how AI adoption affects employee engagement and wellbeing.,workplace|survey,wellbeing|purpose,,https://www.gallup.com/workplace/349484/state-of-the-global-workplace.aspx,high,https://www.gallup.com/workplace/349484/state-of-the-global-workplace.aspx
posai-translation-pipeline,positive-ai,The Translation Pipeline,"Open-source four-stage methodology for converting pluralistic human wisdom from philosophy, ethics and spiritual traditions into AI-trainable evaluation material.",methodology|open source,purpose|wellbeing|learning,,https://positiveailabs.org/,medium,https://positiveailabs.org/
cos-gfs-registry,cos,Global Flourishing Study Registry & Data Access,Administers preregistration via the Open Science Framework and manages controlled data access for the Global Flourishing Study panel dataset.,open data|infrastructure,learning|wellbeing,,https://www.cos.io/gfs,high,https://www.cos.io/gfs
temp-intel-ai-2026,templeton,"Intelligence, Cognition & AI Funding Priority","Funding priority covering the science of intelligence and cognition, philosophical and ethical foundations of AI, and human flourishing in an AI-mediated world.",grants|research funding,agency|purpose|learning,,https://www.templeton.org,medium,https://www.templeton.org
humai-opencall-2026,humanity-ai,Open Call 2026,Open call to identify and fund additional organizations working at the frontiers of AI and the public interest.,grants|open call,agency|social,,https://humanityai.ai,medium,https://humanityai.ai/humanity-ai-announces-more-than-18-million-in-new-grants-to-shape-ai-for-the-public-good/
gates-horizon1000,gates,Horizon1000,Health initiative with OpenAI targeting AI-supported care across roughly 1000 clinics in Africa.,global health|deployment,wellbeing,openai,,high,https://www.geekwire.com/2026/gates-foundation-openai-launch-50m-ai-health-initiative-targeting-1000-clinics-in-africa/
gates-evah,gates,Evaluating AI for Health (EVAH),Funding program with Wellcome and Novo Nordisk Foundation evaluating AI health tools.,global health|evaluation,wellbeing,wellcome,,high,https://www.gatesfoundation.org/ideas/media-center/press-releases/2026/02/ai-impact-health
gates-anthropic-partnership,gates,Gates Foundation and Anthropic Partnership,Partnership applying Anthropic models to global health and development work.,global health|partnership,wellbeing|learning,anthropic,,high,https://www.anthropic.com/news/gates-foundation-partnership
wf-solopreneurship,workday-fdn,Solopreneurship Accelerator,Accelerator with Anthropic and LISC supporting AI-enabled solo entrepreneurs.,workforce|entrepreneurship,purpose|learning,anthropic,,high,"https://newsroom.workday.com/2026-05-12-Workday,-Anthropic,-and-Local-Initiatives-Support-Corporation-LISC-Launch-AI-Focused-Solopreneurship-Accelerator-Program"
mcg-2025-commitment,mcgovern,2025 AI for Humanity Commitment,Expanded funding commitment for human-centered AI across nonprofit and civic organizations.,grants,agency|wellbeing,,https://www.mcgovern.org,high,https://www.mcgovern.org/2025-press-release/
mcg-ai-humanity-prize,mcgovern,AI for Humanity Prize,Prize recognizing organizations applying AI to expand human potential.,prize|recognition,agency|purpose,,,high,https://www.mcgovern.org/mcgovern-foundation-awards-73-5-million-for-human-centered-ai/
hl-responsible-ai-youth,hopelab,Responsible AI for Youth Mental Health,Workshop and research effort convening technology and youth mental health organizations on responsible AI design for young people.,youth|mental health,wellbeing|social,,https://hopelab.org/stories/responsible-ai-for-youth-mental-health,high,https://hopelab.org/stories/responsible-ai-for-youth-mental-health
hl-public-voices-fellowship,hopelab,2026 Public Voices Fellowship,Fellowship amplifying voices working on technology and adolescent mental health.,fellowship|youth,wellbeing|purpose,,https://hopelab.org/programs/2026-public-voices-fellowship,high,https://hopelab.org/programs/2026-public-voices-fellowship
ada-strategy-2025-28,ada,2025 to 2028 Strategy,Institute strategy setting research and policy priorities for data and AI working for people and society.,strategy|policy,agency,,https://www.adalovelaceinstitute.org/about/our-strategy/,medium,https://www.adalovelaceinstitute.org/about/our-strategy/
gv-ai4hf-council,gatherverse,AI for Human Flourishing Council,Standing council convening practitioners around AI and human flourishing.,convening|community,purpose|social,,https://gatherverse.org/ai4hf/,high,https://gatherverse.org/ai4hf/
gv-ai-evolve-2026,gatherverse,AI Evolve 2026,Global summit on emerging technology and humanity.,summit|community,purpose|social,,https://gatherverse.org/aievolve2026/,high,https://gatherverse.org/aievolve2026/
gv-ai-xr-summit,gatherverse,AI & XR Summit,Summit series on AI and extended reality and their human impact.,summit|XR,creativity|social,,https://gatherverse.org/ai-xr/,medium,https://gatherverse.org/ai-xr/
dt-mindshifts,digital-thriving,8 Mindshifts for Digital Wellbeing,Educator-facing course translating research into practical mindshifts for digital wellbeing.,education|wellbeing,wellbeing|learning,,,high,https://www.gse.harvard.edu/ideas/usable-knowledge/25/06/simple-mindshifts-toward-digital-well-being
dt-genai-research,digital-thriving,GenAI & Youth Research Agenda,Research agenda on how young people experience and use generative AI.,youth|research agenda,learning|wellbeing|social,,https://digitalthriving.gse.harvard.edu/research/,high,https://digitalthriving.gse.harvard.edu/research/
dt-fellowship,digital-thriving,2025-2026 Digital Thriving Fellowship,Fellowship program supporting practitioners working on youth digital wellbeing.,fellowship|youth,wellbeing|learning,,https://digitalthriving.gse.harvard.edu/2025-2026-digital-thriving-fellowship-program/,high,https://digitalthriving.gse.harvard.edu/2025-2026-digital-thriving-fellowship-program/
omi-genai-fund,omidyar,Generative AI Funding Effort,Dedicated funding effort promoting inclusive and responsible development of generative AI.,grants|responsible tech,agency|social,,,high,https://omidyar.com/update/omidyar-network-launches-a-dedicated-funding-effort-to-promote-inclusive-and-responsible-development-of-generative-ai/
knight-ai-ethics-fund,knight,Ethics and Governance of AI Fund,Founding participation in a pooled fund supporting civil-society work on AI ethics and governance.,grants|governance,agency,,,medium,https://knightfoundation.org/articles/ethics-and-governance-of-artificial-intelligence-fund/
well-genai-mh,wellcome,Generative AI Mental Health Funding Scheme,Funding scheme supporting research on generative AI in mental health care.,mental health|grants,wellbeing,,,high,https://blog.google/technology/health/new-mental-health-ai-tools-research-treatment/
well-mh-award,wellcome,Mental Health Award for AI-Assisted Care,Award supporting young people with psychosis and depression using AI-assisted approaches.,mental health|youth,wellbeing,,,high,https://www.kcl.ac.uk/news/nearly-5m-wellcome-funding-to-support-young-people-with-psychosis-and-depression-using-ai
jed-policy-summit-2025,jed,2025 Policy Summit on Youth Mental Health and AI,Summit convening policymakers and practitioners on youth mental health and AI.,convening|policy,wellbeing|social,,https://jedfoundation.org/the-future-of-youth-mental-health-in-the-age-of-ai-insights-from-jeds-2025-policy-summit/,high,https://jedfoundation.org/the-future-of-youth-mental-health-in-the-age-of-ai-insights-from-jeds-2025-policy-summit/
jed-genai-tracker,jed,GenAI Youth Help-Seeking Research,Research on how generative AI enters young people help-seeking pathways.,youth|research,wellbeing|social,,https://jedfoundation.org/youth-mental-health-in-the-ai-era-how-genai-enters-help-seeking-pathways/,high,https://jedfoundation.org/youth-mental-health-in-the-ai-era-how-genai-enters-help-seeking-pathways/
jed-ai-open-letter,jed,Open Letter to the AI and Technology Industry,Public letter calling on AI companies to protect the emotional health of young people.,advocacy|youth,wellbeing|social,,https://jedfoundation.org/open-letter-to-the-ai-and-technology-industry/,high,https://jedfoundation.org/open-letter-to-the-ai-and-technology-industry/
5r-dfc,5rights,Digital Futures for Children Research Centre,Joint research centre with LSE serving as a hub for research on children rights in digital environments including AI.,children|research centre,agency|wellbeing,,https://www.digital-futures-for-children.net,high,https://5rightsfoundation.com
5r-childhood-redrawn,5rights,Childhood Redrawn,Campaign advocating for digital spaces including AI-driven products to be designed with children wellbeing as a priority.,campaign|children,wellbeing|agency,,https://5rightsfoundation.com,medium,https://5rightsfoundation.com
hi-red-teaming,humane-intel,AI Red Teaming Services,"Semi-structured testing engagements assessing the safety and effectiveness of AI models, with plans to open-source the red-teaming software.",red-teaming|evaluation,agency,,https://humane-intelligence.org/programs-services/red-teaming/,high,https://humane-intelligence.org/programs-services/red-teaming/
hi-contextual-eval,humane-intel,AI Contextual Evaluations,Bespoke mixed-method assessments of an AI model performance for a specified problem space.,evaluation|methods,agency,,https://humane-intelligence.org,medium,https://humane-intelligence.org
enc-replika-ftc,encode,FTC Complaint Against Replika,"Joint complaint alleging deceptive marketing and manipulative, dependency-inducing design targeting vulnerable users of an AI companion app.",advocacy|consumer protection,wellbeing|social,tech-justice,,high,https://techjusticelaw.org/announcements/tjlp-young-peoples-alliance-and-encode-file-ftc-complaint-over-ai-chatbot-app-replikas-deceptive-practices-seek-ftc-investigation/
enc-planforai,encode,Game Plan (Plan for AI),Playbook helping young people navigate entering an AI-shaped economy.,youth|careers,purpose|learning,,https://planforai.org,medium,https://encodeai.org
tfs-athens-roundtable,future-society,The Athens Roundtable on AI and the Rule of Law,Recurring convening on AI governance and the rule of law; a recent edition was co-hosted at the OECD in Paris.,convening|governance,agency,oecd,https://aiathens.org,high,https://oecd.ai/en/wonk/how-we-shaped-ai-policy-in-2024
tfs-frontier-sovereignty,future-society,EU Frontier AI Sovereignty Report,Report mapping Europe frontier-AI dependencies across five sovereignty pillars.,report|policy,agency,,https://thefuturesociety.org,medium,https://thefuturesociety.org
tfs-sota-riskmgmt,future-society,State of the Art in General-Purpose AI Risk Management,Report examining requirements for general-purpose AI risk management under the EU AI Act Code of Practice.,report|risk,agency,,https://thefuturesociety.org,medium,https://thefuturesociety.org
asp-responsible-access,aspen-digital,Responsible Advanced Access for Frontier AI Models,Paper examining governance practices for providing advanced model access given cyber-capability risks.,governance|security,agency,,https://www.aspendigital.org,medium,https://www.aspendigital.org
asp-trust-in-practice,aspen-digital,Trust in Practice Awards,Awards initiative recognizing efforts to build public trust in the digital and AI information ecosystem.,trust|awards,social|agency,,https://www.aspendigital.org,medium,https://www.aspendigital.org
cai-gap-map,current-ai,Gap Map v0.1,"Open-source tool mapping the public-interest AI stack to identify missing components across hardware, data, models and applications.",open source|mapping,agency,,https://www.currentai.org,medium,https://www.currentai.org
cai-potluck,current-ai,AI Potluck,"Open call inviting contributions to the public-interest AI stack from researchers, developers and institutions.",open call|community,agency,,https://www.currentai.org,medium,https://www.currentai.org
tj-replika-ftc,tech-justice,FTC Complaint Against Replika,"Joint FTC complaint alleging deceptive marketing and manipulative, dependency-inducing design in an AI companion app.",litigation|consumer protection,wellbeing|social,encode,,high,https://techjusticelaw.org/announcements/tjlp-young-peoples-alliance-and-encode-file-ftc-complaint-over-ai-chatbot-app-replikas-deceptive-practices-seek-ftc-investigation/
tj-openai-lawsuit,tech-justice,Lines v. OpenAI,Product liability and negligence litigation concerning ChatGPT safeguards.,litigation|accountability,wellbeing,,https://techjusticelaw.org,high,https://techjusticelaw.org
dff-top10-tech,dubai-future,Top 10 Emerging Technologies Report,Annual report co-published with the World Economic Forum identifying the ten most promising emerging technologies.,foresight|report,agency|learning,wef,https://www.dubaifuture.ae/top-10-emerging-technologies-of-2026/,high,https://www.zawya.com/en/press-release/research-and-studies/dubai-future-foundation-and-world-economic-forum-publish-top-10-emerging-technologies-of-2026-report-s2zycrd0
dff-ai-seal,dubai-future,Dubai AI Seal Initiative,Initiative classifying and verifying trusted AI companies operating in Dubai.,certification|governance,agency,,https://www.dubaifuture.ae,medium,https://www.dubaifuture.ae
dff-one-million-prompters,dubai-future,One Million Prompters,Capacity-building program boosting prompt-engineering literacy among the public.,AI literacy|capacity building,learning,,https://www.dubaifuture.ae,medium,https://www.dubaifuture.ae
vica,govtech-sg,VICA (Virtual Intelligent Chat Assistant),Whole-of-government conversational AI platform used by more than 60 agencies to power public and internal chatbots.,digital government|assistant,agency,,https://www.tech.gov.sg/products-and-services/for-government-agencies/informational-services/vica/,high,https://www.tech.gov.sg/products-and-services/for-government-agencies/informational-services/vica/
unesco-observatory,unesco,Global AI Ethics and Governance Observatory,"Platform offering a readiness assessment methodology, ethical impact assessment, country profiles and expert networks to operationalize the Recommendation on the Ethics of AI.",governance|assessment,agency,turing,https://www.unesco.org/ethics-ai/en,high,https://www.unesco.org/ethics-ai/en
unesco-ai-company-data,unesco,AI Company Data Initiative,Joint initiative analyzing corporate responsible-AI disclosures from roughly 3000 global companies.,transparency|corporate,agency,,,high,https://www.unesco.org/en/articles/responsible-ai-practice-2025-global-insights-ai-company-data-initiative
gfeai-2025,unesco,3rd Global Forum on the Ethics of AI,Third global convening on AI ethics covering safe and ethical AI integration and readiness assessment.,convening|ethics,agency,,https://www.unesco.org/en/articles/3rd-global-forum-ethics-artificial-intelligence,high,https://www.unesco.org/en/articles/advancing-ethical-ai-unescos-3rd-global-forum-bangkok-marks-new-chapter-global-cooperation
gpai-code-of-practice,eu-ai-office,General-Purpose AI Code of Practice,"Voluntary compliance tool covering transparency, copyright and safety for providers of general-purpose AI models under the EU AI Act.",regulation|compliance,agency,,https://digital-strategy.ec.europa.eu/en/policies/contents-code-gpai,high,https://digital-strategy.ec.europa.eu/en/policies/contents-code-gpai
raise-responsible-ai-youth,mit-raise,Responsible AI for America’s Youth,"National campaign combining free K-12 curriculum, teacher professional development and student competitions.",curriculum|youth,learning,commonsense,https://dayofai.org,high,https://dayofai.org/news/day-of-ai-and-mit-raise-launch-national-movement-to-empower-students-and-educators-in-the-ai-age-3
raise-ai-ed-summit-2025,mit-raise,MIT AI & Education Summit 2025,"Annual summit on the role of AI in education covering AI literacy, AI-powered educational tools and personalized learning.",convening|education,learning,,https://raise.mit.edu/events/mit-ai-education-summit-2025/,high,https://raise.mit.edu/events/mit-ai-education-summit-2025/
wef-responsible-ai-playbook,wef,Advancing Responsible AI Innovation: A Playbook,Report offering nine actionable plays for operationalizing responsible AI principles in organizations.,playbook|governance,agency,,https://www.weforum.org/publications/advancing-responsible-ai-innovation-a-playbook/,high,https://www.weforum.org/publications/advancing-responsible-ai-innovation-a-playbook/
wef-regional-ai-activation,wef,Regional AI Activation Networks,"Programs delivering localized support for AI capability-building, data governance and resilient AI ecosystems.",capacity building|global,agency|learning,,https://initiatives.weforum.org/ai-governance-alliance/home,medium,https://www.weforum.org/stories/2025/09/responsible-ai-governance-innovations/
