id,org_id,name,description,people,tags,areas,collab,url
anthropic-econ,anthropic,Anthropic Economic Index,"Tracking how AI is changing work and the economy, from millions of real-world conversations.",,economics|labor,,,
openai-affective,openai,Affective Use & Emotional Wellbeing Study,"Joint research with MIT Media Lab analyzing millions of conversations and a 1,000-person RCT on how ChatGPT use affects loneliness and dependence.",,RCT|MIT collaboration,,aha,
openai-council,openai,Expert Council on Well-Being & AI,External experts advising on how products should support healthy use — especially for teens and people in distress.,,advisory|safeguards,,,
dm-assistants,deepmind,The Ethics of Advanced AI Assistants,A comprehensive research volume on how AI assistants should support — not supplant — human agency and flourishing.,iason-gabriel,ethics|agency,,,
dm-habermas,deepmind,Habermas Machine,"An AI mediator that helps groups with divergent views find common ground, validated in large deliberation experiments.",,deliberation|democracy,social|agency,,
msr-thinking,msr,GenAI & Critical Thinking,Survey research on how knowledge workers’ confidence in AI shifts when and how they think critically.,lev-tankelevitch,cognition|knowledge work,,,
msr-nfw,msr,New Future of Work,"A research initiative on making AI-era work productive, equitable, and meaningful.",,work|hybrid,,,
jig-perspective,jigsaw,Perspective API,Free machine-learning tools that help platforms and publishers host healthier conversations by detecting toxic comments.,,discourse|moderation,social,,https://perspectiveapi.com
ai2-olmo,ai2,OLMo — Open Language Models,"Fully open language models — weights, data, and training code — enabling transparent research on AI’s behavior and impact.",,open source|transparency,,,
cht-podcast,cht,Your Undivided Attention,"A leading podcast examining how AI and social technology shape society, attention, and wellbeing.",tristan-harris|aza-raskin,media|public education,,,
cht-dilemma,cht,The AI Dilemma,A widely viewed briefing on the race dynamics of AI deployment and what it would take to develop AI responsibly.,tristan-harris|aza-raskin,public education|risk,,,
ath-guide,ath,Responsible Tech Guide,"An open map of the responsible-technology ecosystem: organizations, career paths, and university programs.",,mapping|open resource,,,
pai-prosperity,pai,AI & Shared Prosperity Initiative,Guidelines for steering AI toward expanding — not concentrating — economic opportunity.,,economics|labor,,,
pt-newsletter,psychtech,Psychology of Technology Briefings,"Translating behavioral-science research on AI and technology into guidance for designers, funders, and policymakers.",,translation|public scholarship,,,
cs-yasi,commonsense,Youth AI Safety Institute,"Research and evaluation hub focused on protecting young people in the age of AI, working with technical evaluators and academic partners.",,youth safety|evaluation,,humane-intel,
cs-ratings,commonsense,AI Ratings & Reviews,"Independent ratings of AI products for age-appropriateness, safety, and impact on kids.",,ratings|transparency,,,
ds-aia,data-society,Algorithmic Impact Methods,Developing methods to assess how automated systems affect the people and communities subject to them.,danah-boyd,impact assessment|methods,,,
ainow-landscape,ai-now,Landscape of AI Power,"An annual report mapping how concentrated compute, data, and capital shape whose interests AI serves.",amba-kak|sarah-myers-west,power|annual report,,,
moz-trust,mozilla,Trustworthy AI,"Advocacy, research, and grants advancing AI that is accountable to people and communities.",,trustworthy AI|advocacy,,,
gloo-fai,gloo,Flourishing AI (FAI) Benchmark,Scores leading AI models on seven flourishing dimensions drawn from the Global Flourishing Study framework.,,benchmark|evaluation,,,
gallup-poll,gallup,Gallup World Poll,Continuous surveys across 140+ countries — the data backbone of the World Happiness Report and global wellbeing research.,,survey|global,,,
pai-evals,positive-ai,Flourishing Evaluations,Open evaluation suites measuring whether model behavior supports human values and flourishing across cultures.,,benchmark|open source,,,
cos-osf,cos,Open Science Framework,"The open infrastructure hosting the Global Flourishing Study’s data — enabling transparent, reproducible flourishing research.",brian-nosek,infrastructure|open data,,,https://osf.io
temp-character,templeton,Character & Virtue Development,"A major funding portfolio on the science of character, gratitude, and purpose — the moral dimensions of flourishing in a technological age.",,character|grants,,,
humai-grants,humanity-ai,People-Centered AI Grants,"Pooled grantmaking across security, democracy, education, labor, and creativity to keep AI accountable to people.",,grants|coalition,,,
hc-declaration,human-change,Pro-Human AI Declaration,A public declaration and campaign calling for AI that strengthens — rather than replaces — human capabilities and relationships.,,declaration|advocacy,,,https://humanstatement.org
gates-health,gates,AI for Global Health,Funding AI tools — from diagnostic aids to AI health workers — evaluated for real outcomes in low- and middle-income countries.,,global health|evaluation,,,
wf-onramps,workday-fdn,Opportunity Onramps,Funding skills-based pathways into meaningful careers as AI reshapes the workforce.,,workforce|opportunity,,,
mcg-ai4h,mcgovern,AI for Humanity Grants,$73.5M in grants and data-science capacity for nonprofits using AI to expand human potential and civic wellbeing.,vilas-dhar,grants|data philanthropy,,,
hl-innovation,hopelab,Adolescent Mental Health Innovation,Backing research and ventures that use technology to support — not undermine — young people’s mental health and identity.,,youth|digital health,,,
oecd-obs,oecd,OECD.AI Policy Observatory,A live database of AI policies and trustworthy-AI metrics across 70+ countries.,,policy|database,,,
ada-attitudes,ada,Public Attitudes to AI,Nationally representative research on how people actually feel about AI in their lives — a counterweight to industry narratives.,,public opinion|survey,,,
thrive-ai,thrive,Thrive AI Health,An OpenAI-backed venture building a hyper-personalized AI health coach for daily behavior change.,,health|coaching,,openai,
wwm-toolkit,wwm,Workplace Wellbeing Toolkit,"Practical, evidence-based tools helping employers measure and improve wellbeing as AI reshapes work.",,workplace|measurement,,,
dt-imagine,digital-thriving,Imagine AI,A portfolio of youth-centered research and design work on how teens experience and imagine AI in their lives.,,youth voice|co-design,,,https://digitalthriving.gse.harvard.edu/imagine-ai-portfolio/
ai2050-fellows,schmidt,AI2050 Fellows,Multi-year fellowships for researchers tackling AI’s hard problems — from alignment to its effects on people and society.,,fellowship|research,,,
ford-pit,ford,Public Interest Technology,Building a field — and a university network — of technologists working in the public interest.,,field-building|equity,,,
mac-tech-pi,macarthur,Technology in the Public Interest,"Grantmaking to ensure AI and digital systems are accountable, just, and oriented to the common good.",,public interest|grants,,,
omi-resptech,omidyar,Responsible Technology,"Investing in a digital society where technology strengthens agency, trust, and democratic life.",,responsible tech|agency,,,
knight-democracy,knight,"AI, Democracy & Local News","Funding research and institutions so AI strengthens — rather than corrodes — informed, engaged communities.",,democracy|journalism,,,
well-mh,wellcome,Mental Health Priority Area,A major research program on what works for anxiety and depression — including the role of digital and AI tools.,,mental health|research,,,
jed-standards,jed,Youth AI & Mental Health Guidance,Guidance for platforms and AI companies on protecting the emotional health of teens and young adults.,,guidance|youth,,,
5r-aicode,5rights,Children & AI Design Code,A protocol for building AI systems that are safe for — and accountable to — children by design.,,design code|children,,,
hi-bounties,humane-intel,Algorithmic Bias Bounties,Public red-teaming challenges that surface bias and harm in AI systems — bringing community expertise into evaluation.,rumman-chowdhury,red-teaming|bias,,,
enc-advocacy,encode,Youth AI Advocacy,Organizing young people into the AI policy process — from legislative testimony to grassroots campaigns.,,youth|policy,,,
tfs-gov,future-society,Global AI Governance,"Turning high-level AI principles into concrete institutions, standards, and law across jurisdictions.",,governance|institutions,,,
asp-elections,aspen-digital,AI Elections Initiative,Convening industry and civil society to protect information integrity and democratic trust in the age of generative AI.,,democracy|information integrity,,,
noesis-hcai,noesis,HumanConnections.AI,"Salons convening leaders from tech, academia, venture, and civil society on AI that strengthens social relationships — including a Social AI white paper with Harvard’s Human Flourishing Program.",,salon|social AI,,harvard-hfp,
cai-commons,current-ai,Public Interest AI Commons,"Open datasets, tools, and infrastructure so public-interest developers can build AI that serves global equity.",,open infrastructure|data commons,,,
tj-litigation,tech-justice,AI Accountability Litigation,Landmark cases holding AI companies responsible for harms to users — including families affected by AI companion products.,meetali-jain,litigation|accountability,,,
dff-forum,dubai-future,Dubai Future Forum,An annual global gathering of futurists exploring how emerging technology — AI foremost — should shape human futures.,,convening|foresight,,,
gt-pair,govtech-sg,Pair — Government AI Assistant,"A whole-of-government AI assistant helping public servants work better, built with citizen trust and safety in mind.",,digital government|assistant,,,
unesco-rec,unesco,Recommendation on the Ethics of AI,"The first global normative framework for AI ethics, centering human rights, dignity, and environmental flourishing.",,norms|global,,,
eu-ai-act,eu-ai-office,EU AI Act Implementation,"Risk-based rules for AI systems across the EU, including protections for fundamental rights and wellbeing.",,law|fundamental rights,,,
raise-dayofai,mit-raise,Day of AI,A free global AI-literacy curriculum reaching students in over 100 countries.,cynthia-breazeal,curriculum|global,learning|creativity,,https://dayofai.org
am-summit,artist-machine,AI & Creativity Summit,"Summits gathering hundreds of cross-disciplinary leaders — artists, studios, and AI builders — on creativity, culture, and human connection.",,convening|creativity,creativity,,
wef-c4ir,wef,Centre for the Fourth Industrial Revolution,A global network piloting governance approaches so emerging technologies benefit people and the planet.,,governance|global network,,,
