id,name,roles,location,url,description,people,tags,keywords,areas
commonsense,Common Sense Media,civil,"San Francisco, CA, USA",https://www.commonsensemedia.org,"The leading kids-and-technology nonprofit, now rating AI products for youth safety and running a dedicated institute studying how AI affects children and families.",james-p-steyer,children|media literacy|AI safety,families|ratings|youth,learning|wellbeing|social
data-society,Data & Society,civil,"New York, NY, USA",https://datasociety.net,An independent research institute studying the social implications of data-centric technologies — grounding AI debates in how systems actually land in people’s lives.,danah-boyd,social research|tech & society,labor|governance|ethnography,agency|social
ai-now,AI Now Institute,civil,"New York, NY, USA",https://ainowinstitute.org,Policy research on the concentration of power in the AI industry — and what accountability to the public would actually require.,amba-kak|sarah-myers-west,accountability|power,policy research|industry analysis,agency
mozilla,Mozilla Foundation,civil,"San Francisco, CA, USA",https://foundation.mozilla.org,"The nonprofit behind Firefox, campaigning and grantmaking for trustworthy AI — and a member of the Humanity AI funding coalition.",,trustworthy AI|open internet,advocacy|grantmaking,agency|learning
gloo,Gloo · Flourishing AI,measure,"Boulder, CO, USA",https://gloo.com/flourishing-hub/research,"A technology platform whose Flourishing AI initiative benchmarks how well AI models’ answers actually help people flourish, using seven research-backed dimensions from flourishing science.",,benchmark|values alignment,FAI benchmark|faith ecosystem,purpose|wellbeing|social
gallup,Gallup,measure,"Washington, DC, USA",https://www.gallup.com,The global analytics firm whose World Poll underpins much of the world’s wellbeing evidence — and the fieldwork engine of the Global Flourishing Study.,,polling|global data,World Poll|wellbeing analytics,wellbeing|purpose
positive-ai,Positive AI Labs,measure,USA,https://positiveailabs.org,A nonprofit developing open-source datasets and evaluations that guide frontier AI models toward human values and a pluralistic understanding of human flourishing.,,evaluations|open datasets,values|frontier models|flourishing,wellbeing|purpose|agency
cos,Center for Open Science,measure,"Charlottesville, VA, USA",https://www.cos.io,"Champions open, reproducible research — hosting the Global Flourishing Study’s open data so the science of flourishing is verifiable by anyone.",brian-nosek,open science|reproducibility,open data|preregistration,learning|agency
templeton,John Templeton Foundation,funder,"West Conshohocken, PA, USA",https://www.templeton.org,"Major philanthropic funder of the science of human flourishing — including the Global Flourishing Study — supporting research on character, meaning, and spiritual life in a technological age.",,philanthropy|big questions,grants|flourishing science,purpose|social
humanity-ai,Humanity AI Fund,funder,USA (10-foundation coalition),https://www.macfound.org/press/press-releases/humanity-ai-commits-500-million-to-build-a-people-centered-future-for-ai,"A $500 million, five-year pooled fund from ten major foundations — including Ford, MacArthur, Mellon, Mozilla, Omidyar, Packard, and Kapor — investing in a people-centered future where AI strengthens communities and human creativity.",,pooled fund|people-centered AI,$500M|coalition|grants,creativity|agency|social
human-change,Human Change Foundation,funder,Global,https://humanstatement.org,Philanthropy founded by Margarita Louis-Dreyfus supporting pro-human technology — including the Pro-Human AI Declaration and research on how digital technology shapes children’s mental health and wellbeing.,margarita-louis-dreyfus,pro-human AI|children,mental health|declaration,wellbeing|social
gates,Gates Foundation,funder,"Seattle, WA, USA",https://www.gatesfoundation.org/ideas/science-innovation-technology/artificial-intelligence,"The world’s largest private foundation, directing AI toward equity — funding AI scaling hubs and locally led evaluations of AI tools for health, agriculture, and education in low- and middle-income countries.",,global health|AI for equity,global development|evaluation,wellbeing|learning
workday-fdn,Workday Foundation,funder,"Pleasanton, CA, USA",https://www.workday.com/en-us/company/foundation.html,"Workday’s corporate philanthropy, focused on human thriving through work — funding career pathways and workforce resilience as AI transforms the labor market.",,future of work|workforce,career opportunity|skills,purpose|learning
mcgovern,Patrick J. McGovern Foundation,funder,"Boston, MA, USA",https://www.mcgovern.org,"A philanthropy bridging AI and social purpose, committing $73.5 million toward ""AI for Humanity"" — advancing AI that expands human potential and civic wellbeing.",vilas-dhar,AI for humanity|data philanthropy,grants|social purpose,agency|wellbeing
hopelab,Hopelab,funder,"San Francisco, CA, USA",https://hopelab.org,A social innovation lab and impact investor advancing technology for adolescent mental health and wellbeing — backing research and ventures at the intersection of AI and young people’s thriving.,,youth mental health|impact investing,adolescents|digital health,wellbeing|social
oecd,OECD · AI Policy Observatory,policy,"Paris, France",https://oecd.ai,"The intergovernmental hub tracking national AI policies, paired with the OECD’s long-standing work measuring what matters for people’s wellbeing (""How’s Life?"").",,intergovernmental|policy,AI principles|wellbeing metrics,wellbeing|agency
ada,Ada Lovelace Institute,policy,"London, UK",https://www.adalovelaceinstitute.org,"An independent institute making data and AI work for people and society — known for rigorous research on public attitudes, regulation, and the real-world impacts of AI systems.",,independent research|regulation,public attitudes|accountability,agency
thrive,Thrive Global,community,"New York, NY, USA",https://thriveglobal.com,"Arianna Huffington’s behavior-change company, extending into AI health coaching — and a vocal advocate for AI as a ""GPS for the soul"" at the AHA Symposium.",arianna-huffington,behavior change|wellbeing,habits|health coaching,wellbeing|purpose
gatherverse,GatherVerse,community,Global / Remote,https://gatherverse.org/ai4hf/,A community organization convening global summits on emerging technology and humanity — including its AI for Human Flourishing summit series.,,summits|community,convening|emerging tech,social|purpose
wwm,World Wellbeing Movement,community,"Oxford, UK",https://worldwellbeingmovement.org,A coalition of business and policy leaders — incubated at Oxford’s Wellbeing Research Centre — working to put wellbeing metrics at the heart of business and government decision-making.,,coalition|wellbeing metrics,business|policy|measurement,wellbeing|purpose
digital-thriving,Center for Digital Thriving · Harvard GSE,academic,"Cambridge, MA, USA",https://digitalthriving.gse.harvard.edu,A research and innovation center at the Harvard Graduate School of Education studying how young people can thrive in a tech-filled world — including youth-centered research on how teens actually use and imagine AI.,carrie-james|emily-weinstein,youth|digital thriving,teens|education|wellbeing,learning|wellbeing|social
schmidt,Schmidt Sciences · AI2050,funder,"New York, NY, USA",https://ai2050.schmidtsciences.org,"A $125 million philanthropic initiative co-chaired by Eric Schmidt and James Manyika, funding exceptional researchers working on the hard problems that must go right for society to benefit from AI.",eric-schmidt|james-manyika,fellowships|hard problems,AI2050 fellows|research funding,agency|learning
ford,Ford Foundation,funder,"New York, NY, USA",https://www.fordfoundation.org,"One of the largest social-justice philanthropies, funding technology in the public interest — and a member of the Humanity AI coalition for people-centered AI.",,social justice|public interest tech,equity|civil society,agency|social
macarthur,MacArthur Foundation,funder,"Chicago, IL, USA",https://www.macfound.org,Major philanthropy supporting a more just and verdant world — a driving member of the $500M Humanity AI coalition investing in a people-driven future for AI.,,philanthropy|technology in the public interest,grants|coalition,agency|social
omidyar,Omidyar Network,funder,"Redwood City, CA, USA",https://omidyar.com,"Pierre Omidyar’s philanthropic investment firm, funding responsible technology — from digital wellbeing to AI governance — and a Humanity AI coalition member.",,responsible tech|impact investing,digital society|governance,agency|social
knight,Knight Foundation,funder,"Miami, FL, USA",https://knightfoundation.org,"Funds informed and engaged communities — including major university investments in research on technology, AI, and the future of democracy.",,democracy|journalism,informed communities|research funding,learning|social
wellcome,Wellcome Trust,funder,"London, UK",https://wellcome.org,"One of the world’s largest health foundations, funding research on mental health and digital technology — including locally led evaluations of AI health tools with the Gates Foundation.",,global health|mental health,science funding|digital mental health,wellbeing
jed,The Jed Foundation,civil,"New York, NY, USA",https://jedfoundation.org,A leading nonprofit protecting emotional health and preventing suicide among teens and young adults — increasingly focused on how AI and social platforms shape youth mental health.,,youth mental health|prevention,suicide prevention|schools,wellbeing|social
5rights,5Rights Foundation,civil,"London, UK",https://5rightsfoundation.com,Works to build the digital world children deserve — behind age-appropriate design codes worldwide and advocacy for children’s rights in AI systems.,beeban-kidron,children’s rights|design codes,age-appropriate design|regulation,wellbeing|agency
humane-intel,Humane Intelligence,civil,"New York, NY, USA",https://www.humane-intelligence.org,A tech nonprofit led by Rumman Chowdhury building public-interest evaluation of AI — red-teaming and algorithmic assessments in service of society.,rumman-chowdhury,evaluation|red-teaming,algorithmic assessment|public interest,agency
encode,Encode,civil,"Washington, DC, USA",https://encodeai.org,A youth-led movement advocating for safe and accountable AI — organizing young people into the policy conversations that will define their future.,,youth-led|advocacy,AI policy|organizing,agency|purpose
future-society,The Future Society,policy,"Boston, MA, USA",https://thefuturesociety.org,"An independent nonprofit advancing the responsible governance of AI — operationalizing principles into institutions, law, and practice worldwide.",,AI governance|institutions,operationalizing ethics|international,
aspen-digital,Aspen Institute · Aspen Digital,community,"Washington, DC, USA",https://www.aspendigital.org,"The Aspen Institute’s technology program, convening leaders across sectors so that AI and the information ecosystem serve a healthy, connected society.",vivian-schiller,convening|information ecosystem,leadership|AI & society,agency|social
noesis,Noēsis Collaborative,community,"San Francisco, CA, USA",https://www.noesiscollaborative.org,"A nonprofit building a collaborative ecosystem of leaders who research, build, and govern technology that advances human flourishing — through invitation-only salons, the Noēsis Institute, and HumanConnections.AI.",,flourishing|salons|ecosystem building,noētechnoi|social AI|human connection,purpose|social|wellbeing
current-ai,Current AI,funder,"Paris, France",https://www.currentai.org,"A public-interest AI partnership launched at the 2025 Paris AI Action Summit with an initial $400 million — from France, Germany, Ford, MacArthur, Google DeepMind, Salesforce and others — funding open, accountable AI that serves global equity.",,public interest AI|open infrastructure,$2.5B goal|data commons|Paris Summit,agency|learning
tech-justice,Tech Justice Law Project,civil,"Washington, DC, USA",https://techjusticelaw.org,A legal advocacy organization holding technology companies accountable for AI and platform harms — litigating landmark cases on behalf of families harmed by AI companions.,meetali-jain,litigation|accountability,AI harms|consumer protection,agency|wellbeing
dubai-future,Dubai Future Foundation,policy,"Dubai, UAE",https://www.dubaifuture.ae,"Dubai’s government foundation for imagining and prototyping the future — host of the Dubai Future Forum, one of the world’s largest gatherings of futurists, with growing programs on AI and human potential.",,futures|government innovation,Dubai Future Forum|foresight,learning|purpose
govtech-sg,GovTech Singapore,policy,Singapore,https://www.tech.gov.sg,"Singapore’s government technology agency, building citizen-centered digital services and applying AI for public good across the Smart Nation initiative.",,digital government|Smart Nation,public services|AI for public good,agency|wellbeing
unesco,UNESCO,policy,"Paris, France",https://www.unesco.org/en/artificial-intelligence,"The UN agency behind the first global standard on AI ethics — the Recommendation on the Ethics of AI, adopted by 194 member states with human dignity and flourishing at its core.",,global standards|AI ethics,recommendation|member states,agency|learning
eu-ai-office,European AI Office,policy,"Brussels, Belgium",https://digital-strategy.ec.europa.eu/en/policies/ai-office,The European Commission body implementing the EU AI Act — the world’s first comprehensive AI law — to ensure AI in Europe is trustworthy and human-centric.,,regulation|EU AI Act,trustworthy AI|enforcement,agency|wellbeing
mit-raise,MIT RAISE,academic,"Cambridge, MA, USA",https://raise.mit.edu,MIT’s Responsible AI for Social Empowerment and Education initiative — headquartered at the MIT Media Lab and led by Cynthia Breazeal — advancing AI literacy so everyone can flourish in an AI-shaped world.,cynthia-breazeal,AI literacy|education,K-12|empowerment,learning|creativity
artist-machine,Artist and the Machine,community,"Los Angeles / New York, USA",https://artistandthemachine.com,"A bi-annual convening of decision-makers at the intersection of creativity and AI — exploring how AI reshapes meaning, authorship, and human expression.",dani-van-de-sande,creativity|summits,art|culture|human expression,creativity|purpose
wef,World Economic Forum · AI Governance Alliance,community,"Geneva, Switzerland",https://initiatives.weforum.org/ai-governance-alliance/home,"A multistakeholder alliance of industry, government, and civil society convened by the World Economic Forum to steer responsible AI development and inclusive access worldwide.",,multistakeholder|global governance,responsible AI|inclusive access,agency|social
doris-duke,Doris Duke Foundation,funder,"New York, NY, USA",https://www.dorisduke.org,"A national foundation building a more creative, equitable and sustainable future through programs in the arts, child wellbeing, the environment, medical research and bridge-building — and a founding member of the $500M Humanity AI coalition.",,philanthropy|arts,creativity|equity|coalition,creativity|social|wellbeing
kapor,Kapor Foundation,funder,"Oakland, CA, USA",https://kaporfoundation.org,"Works at the intersection of racial equity and technology to build a more equitable tech sector — expanding computing and AI education, funding responsible AI solutions, and advancing equitable technology policy. A founding member of the Humanity AI coalition.",,racial equity|tech equity,AI literacy|computing education|policy,learning|agency|social
lumina,Lumina Foundation,funder,"Indianapolis, IN, USA",https://www.luminafoundation.org,"An education-focused foundation working to make learning beyond high school available to all, with a 2040 goal for credential attainment — and a founding member of the Humanity AI coalition, where it focuses on AI and the future of learning.",,education|credentials,higher education|workforce|access,learning|purpose
mellon,Mellon Foundation,funder,"New York, NY, USA",https://www.mellon.org,"The nation’s largest supporter of the arts and humanities, founded on the conviction that they are essential to human understanding — and a founding member of the Humanity AI coalition, where it focuses on creative work and artist ownership in the age of AI.",,arts|humanities,culture|authorship|creative work,creativity|purpose
packard,David and Lucile Packard Foundation,funder,"Los Altos, CA, USA",https://www.packard.org,"A family foundation working toward just and equitable communities, a healthy ocean and climate, and support for early-career scientists — and a founding member of the $500M Humanity AI coalition.",,philanthropy|science,equity|communities|research,social|learning
siegel,Siegel Family Endowment,funder,"New York, NY, USA",https://www.siegelendowment.org,"A foundation whose mission is to understand and shape the impact of technology on society, funding inquiry-driven work across learning, work and infrastructure — including how workers get a voice in how AI reshapes employment. A founding member of the Humanity AI coalition.",,technology & society|inquiry-driven,learning|future of work|infrastructure,learning|purpose|agency
