source_id,target_id,type,label,source
deepmind,wellcome,collaborate,Multi-year mental health AI research investment,https://blog.google/innovation-and-ai/technology/health/new-mental-health-ai-tools-research-treatment/
mcgovern,ath,fund,Funded the Responsible AI Impact Report,https://alltechishuman.org/all-tech-is-human-blog/responsible-ai-impact-report-urgent-risks-emerging-safeguards-and-public-interest-solutions-impacting-society
pai,omidyar,collaborate,Listed partner organization,https://partnershiponai.org/partners/
pai,mozilla,collaborate,Listed partner organization,https://partnershiponai.org/partners/
pai,bkc,collaborate,Listed partner organization,https://partnershiponai.org/partners/
pai,turing,collaborate,Listed partner organization,https://partnershiponai.org/partners/
psychtech,chai,collaborate,Co-sponsor of the 2026 Future of Meaning conference,https://www.psychoftech.org/conferences
humanity-ai,ai-now,fund,"Inaugural grant, May 2026",https://humanityai.ai/humanity-ai-announces-more-than-18-million-in-new-grants-to-shape-ai-for-the-public-good/
humanity-ai,pai,fund,"Inaugural grant, May 2026",https://humanityai.ai/humanity-ai-announces-more-than-18-million-in-new-grants-to-shape-ai-for-the-public-good/
humanity-ai,data-society,fund,"AI Civics initiative grant, May 2026",https://humanityai.ai/humanity-ai-announces-more-than-18-million-in-new-grants-to-shape-ai-for-the-public-good/
gates,openai,collaborate,Horizon1000 AI health initiative,https://www.geekwire.com/2026/gates-foundation-openai-launch-50m-ai-health-initiative-targeting-1000-clinics-in-africa/
gates,anthropic,collaborate,Global health and development partnership,https://www.gatesfoundation.org/ideas/media-center/press-releases/2026/05/ai-anthropic-partnership
workday-fdn,anthropic,collaborate,Solopreneurship Accelerator partner,"https://newsroom.workday.com/2026-05-12-Workday,-Anthropic,-and-Local-Initiatives-Support-Corporation-LISC-Launch-AI-Focused-Solopreneurship-Accelerator-Program"
mcgovern,current-ai,fund,Core philanthropic partner,https://www.currentai.org/about
mcgovern,aspen-digital,fund,Grantee of the foundation,https://www.mcgovern.org/2025-press-release/
gatherverse,harvard-hfp,collaborate,AI for Human Flourishing council participation,https://gatherverse.org/ai4hf/
digital-thriving,commonsense,collaborate,Joint teen generative-AI report,https://www.commonsensemedia.org/research/teen-and-young-adult-perspectives-on-generative-ai-patterns-of-use-excitements-and-concerns
digital-thriving,hopelab,collaborate,Joint teen generative-AI report,https://hopelab.org/stories/teen-and-young-adult-perspectives-on-generative-ai
ford,pai,fund,Foundation funder,https://www.fordfoundation.org/news-and-stories/news-and-press/news/humanity-ai-announces-more-than-18-million-in-new-grants-to-shape-ai-for-the-public-good/
macarthur,ai-now,fund,Foundation grantee,https://www.macfound.org/press/press-releases/10-million-to-advance-ai-by-and-for-people
macarthur,data-society,fund,Foundation grantee,https://www.macfound.org/press/press-releases/10-million-to-advance-ai-by-and-for-people
macarthur,pai,fund,Foundation grantee,https://www.macfound.org/grantee/partnership-on-artificial-intelligence-to-benefit-people-and-society-10114517/
omidyar,humane-intel,fund,Seed funding for AI auditing and red-teaming,https://omidyar.com/update/omidyar-network-launches-a-dedicated-funding-effort-to-promote-inclusive-and-responsible-development-of-generative-ai/
omidyar,ai-now,fund,Generative AI funding effort grantee,https://omidyar.com/update/omidyar-network-launches-a-dedicated-funding-effort-to-promote-inclusive-and-responsible-development-of-generative-ai/
knight,pai,fund,AI for Local News grant,https://partnershiponai.org/knight-ai-for-local-news-grant/
knight,aspen-digital,fund,Listed funder,https://www.aspendigital.org/funders/
omidyar,noesis,fund,Sponsor of the HumanConnections.AI program,https://www.noesiscollaborative.org/our-programs
encode,commonsense,collaborate,Co-led coalition opposing a state AI law moratorium,https://www.commonsensemedia.org/press-releases/common-sense-media-encode-ai-fairplay-young-peoples-alliance-lead-a-coalition-of-advocates-to-call-on
encode,tech-justice,collaborate,Joint FTC complaint on an AI companion app,https://techjusticelaw.org/announcements/tjlp-young-peoples-alliance-and-encode-file-ftc-complaint-over-ai-chatbot-app-replikas-deceptive-practices-seek-ftc-investigation/
future-society,oecd,collaborate,Contributor to OECD AI principles; Athens Roundtable co-hosted at the OECD,https://oecd.ai/en/wonk/how-we-shaped-ai-policy-in-2024
dubai-future,wef,collaborate,Co-published the Top 10 Emerging Technologies report,https://www.zawya.com/en/press-release/research-and-studies/dubai-future-foundation-and-world-economic-forum-publish-top-10-emerging-technologies-of-2026-report-s2zycrd0
unesco,turing,collaborate,Co-produced the Global AI Ethics and Governance Observatory,https://digital-skills-jobs.europa.eu/en/latest/news/unesco-launches-global-ai-ethics-and-governance-observatory-2024-global-forum-ethics
eu-ai-office,anthropic,collaborate,Signatory of the GPAI Code of Practice,https://www.anthropic.com/news/eu-code-practice
mit-raise,commonsense,collaborate,Nonprofit partner in Responsible AI for America’s Youth,https://dayofai.org/news/day-of-ai-and-mit-raise-launch-national-movement-to-empower-students-and-educators-in-the-ai-age-3
doris-duke,humanity-ai,support,Humanity AI founding coalition member,https://www.macfound.org/press/press-releases/humanity-ai-commits-500-million-to-build-a-people-centered-future-for-ai
kapor,humanity-ai,support,Humanity AI founding coalition member,https://www.macfound.org/press/press-releases/humanity-ai-commits-500-million-to-build-a-people-centered-future-for-ai
lumina,humanity-ai,support,Humanity AI founding coalition member,https://www.macfound.org/press/press-releases/humanity-ai-commits-500-million-to-build-a-people-centered-future-for-ai
mellon,humanity-ai,support,Humanity AI founding coalition member,https://www.macfound.org/press/press-releases/humanity-ai-commits-500-million-to-build-a-people-centered-future-for-ai
packard,humanity-ai,support,Humanity AI founding coalition member,https://www.macfound.org/press/press-releases/humanity-ai-commits-500-million-to-build-a-people-centered-future-for-ai
siegel,humanity-ai,support,Humanity AI founding coalition member,https://www.macfound.org/press/press-releases/humanity-ai-commits-500-million-to-build-a-people-centered-future-for-ai
google-org,aha,fund,fund,
aha,govtech-sg,collaborate,collaborate,
aha,current-ai,collaborate,collaborate,
aha,msr,collaborate,collaborate,
workday-fdn,aha,fund,fund,
aha,noesis,collaborate,collaborate,
